Data_new,Data,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,2021-04-30,Data,29/04/2021,28/04/2021,27/04/2021
BOI_GORDO.,Local,SP Barretos,SP AraÃ§atuba,MG TriÃ¢ngulo,MG B.Horizonte,MG Norte,MG Sul,GO GoiÃ¢nia,GO Reg. Sul,MS Dourados,MS C. Grande,MS TrÃªs Lagoas,RS Oeste**,RS Pelotas**,BA Sul,BA Oeste,MT Norte,MT Sudoeste,MT CuiabÃ¡*,MT Sudeste,PR Noroeste,SC Oeste,MA Oeste,Alagoas,PA MarabÃ¡,PA RedenÃ§Ã£o,PA Paragominas,RO Sudeste,TO Sul,TO Norte,Acre,ES,RJ,,,,
IndBG_CEPE,Valor_RS,"313,70","312,10","313,40","315,60","315,40","316,65","315,85","315,40","312,60","319,40","320,00","316,70","316,45","319,40","316,80","314,04","314,63","315,38","315,78","315,18","315,98","314,44","312,83","314,12","316,33","316,09","317,37","316,55","316,10","313,34","320,11","320,75","317,39","317,15","320,12","317,55"
