,Local,2021-04-30,2021-04-30.1,2021-04-30.2,2021-04-30.3,2021-04-30.4,2021-04-30.5,2021-04-30.6,2021-04-30.7,2021-04-30.8,2021-04-30.9,2021-04-30.10,2021-04-30.11,2021-04-30.12,2021-04-30.13,2021-04-30.14,2021-04-30.15,2021-04-30.16,2021-04-30.17,2021-04-30.18,2021-04-30.19,2021-04-30.20,2021-04-30.21,2021-04-30.22,2021-04-30.23,2021-04-30.24,2021-04-30.25,2021-04-30.26,2021-04-30.27,2021-04-30.28,2021-04-30.29,2021-04-30.30,2021-04-30.31
0,BOI_GORDO.,SP Barretos,SP AraÃ§atuba,MG TriÃ¢ngulo,MG B.Horizonte,MG Norte,MG Sul,GO GoiÃ¢nia,GO Reg. Sul,MS Dourados,MS C. Grande,MS TrÃªs Lagoas,RS Oeste**,RS Pelotas**,BA Sul,BA Oeste,MT Norte,MT Sudoeste,MT CuiabÃ¡*,MT Sudeste,PR Noroeste,SC Oeste,MA Oeste,Alagoas,PA MarabÃ¡,PA RedenÃ§Ã£o,PA Paragominas,RO Sudeste,TO Sul,TO Norte,Acre,ES,RJ
1,IndBG_CEPE,"313,70","312,10","313,40","315,60","315,40","316,65","315,85","315,40","312,60","319,40","320,00","316,70","316,45","319,40","316,80","314,04","314,63","315,38","315,78","315,18","315,98","314,44","312,83","314,12","316,33","316,09","317,37","316,55","316,10","313,34","320,11","320,75"
