Mercadoria,Vencimento,Preco_Anterior,Preco_Atual,Variacao,Valor_ajuste_contrato,Data_new
,N21 ,"7.725,7000","7.593,2000","-132,5000","3.312,50",2021-04-30
,Q21 ,"7.745,9000","7.613,9000","-132,0000","3.300,00",2021-04-30
,U21 ,"7.770,6000","7.637,6000","-133,0000","3.325,00",2021-04-30
,V21 ,"0,0000","7.660,0000","0,0000","0,00",2021-04-30
CMIGP - Contrato Futuro de CMIG4                          ,K21 ,"14,14","14,06","-0,08","0,08",2021-04-30
,M21 ,"14,18","14,09","-0,09","0,09",2021-04-30
CNH   - IUAN CHINÊS (TIPO A)                              ,K21 ,"6.474,907","6.463,821","-11,086","91,98",2021-04-30
,M21 ,"6.487,156","6.477,690","-9,466","78,54",2021-04-30
,N21 ,"6.502,541","6.492,302","-10,239","84,96",2021-04-30
,Q21 ,"6.517,350","6.506,999","-10,351","85,89",2021-04-30
,U21 ,"6.531,540","6.521,765","-9,775","81,11",2021-04-30
,V21 ,"0,000","6.535,000","0,000","0,00",2021-04-30
CNY   - IUAN                                              ,K21 ,"8.280,9100","8.269,0170","-11,8930","416,25",2021-04-30
,M21 ,"8.283,2670","8.273,5480","-9,7190","340,16",2021-04-30
,N21 ,"8.283,4090","8.273,8230","-9,5860","335,51",2021-04-30
,Q21 ,"8.287,2090","8.276,8920","-10,3170","361,09",2021-04-30
,U21 ,"8.294,2490","8.283,0560","-11,1930","391,75",2021-04-30
,V21 ,"0,0000","8.290,0000","0,0000","0,00",2021-04-30
DAP   - Cupom de DI x IPCA                                ,K21 ,"99.975,36","99.958,76","-16,60","23,57",2021-04-30
,M21 ,"100.159,99","100.152,13","-7,86","11,16",2021-04-30
,N21 ,"100.149,89","100.139,84","-10,05","14,27",2021-04-30
,F22 ,"99.707,00","99.726,45","19,45","27,62",2021-04-30
,Q22 ,"98.493,91","98.527,21","33,30","47,30",2021-04-30
,F23 ,"97.365,86","97.358,80","-7,06","10,02",2021-04-30
,K23 ,"96.655,48","96.645,93","-9,55","13,56",2021-04-30
,Q24 ,"92.423,17","92.494,61","71,44","101,47",2021-04-30
,K25 ,"89.732,21","89.780,17","47,96","68,12",2021-04-30
,Q26 ,"85.414,42","85.427,53","13,11","18,62",2021-04-30
,Q28 ,"78.598,90","78.501,30","-97,60","138,63",2021-04-30
,Q30 ,"72.497,54","72.186,40","-311,14","441,95",2021-04-30
,K35 ,"60.282,68","60.212,10","-70,58","100,25",2021-04-30
,Q40 ,"46.223,33","46.146,92","-76,41","108,53",2021-04-30
,K45 ,"33.398,62","33.405,86","7,24","10,28",2021-04-30
,Q50 ,"25.565,03","25.570,67","5,64","8,01",2021-04-30
,K55 ,"20.362,55","20.301,21","-61,34","87,12",2021-04-30
DCO   - Cupom Cambial em OC1                              ,K21 ,"99.307,35","99.066,59","-240,76","650,11",2021-04-30
